639.33746	-8
639.37097	8
639.40448	-17
639.43793	-1
639.47144	-4
639.50494	-18
639.53845	-5
639.5719	9
639.60541	-10
639.63892	-7
639.67236	-7
639.70587	-25
639.73938	-18
639.77283	-9
639.80634	-14
639.83978	2
639.87329	30
639.90674	19
639.94025	20
639.97369	5
640.0072	-7
640.04065	23
640.07416	-22
640.1076	3
640.14111	-15
640.17456	16
640.20807	-16
640.24152	-32
640.27496	-17
640.30847	-25
640.34192	-10
640.37537	-16
640.40887	-26
640.44232	-5
640.47577	1
640.50928	-19
640.54272	-14
640.57617	5
640.60962	-5
640.64307	-2
640.67657	5
640.71002	3
640.74347	-24
640.77692	-21
640.81036	-7
640.84381	-34
640.87732	-29
640.91077	-15
640.94421	-27
640.97766	-43
641.01111	-16
641.04456	-18
641.078	-14
641.11145	-22
641.1449	-4
641.17834	-5
641.21179	-8
641.24524	7
641.27869	-3
641.31213	7
641.34558	-10
641.37903	-23
641.41241	-7
641.44586	-13
641.47931	-11
641.51276	-8
641.5462	-22
641.57965	-25
641.61304	-9
641.64648	-48
641.67993	-25
641.71338	-16
641.74677	-36
641.78021	-21
641.81366	-28
641.84705	-19
641.88049	-9
641.91394	-47
641.94733	-4
641.98077	-34
642.01422	-26
642.04761	-25
642.08105	-14
642.11444	-30
642.14789	-35
642.18134	-19
642.21472	-17
642.24817	-28
642.28156	-21
642.315	-15
642.34839	-19
642.38177	-20
642.41522	-26
642.44861	11
642.48206	-32
642.51544	-29
642.54883	-31
642.58228	2
642.61566	-22
642.64905	-40
642.6825	-24
642.71588	-11
642.74927	-12
642.78271	-7
642.8161	13
642.84949	-10
642.88287	-15
642.91632	3
642.94971	3
642.98309	-28
643.01648	-18
643.04987	-26
643.08325	-18
643.1167	-13
643.15009	-29
643.18347	-26
643.21686	-5
643.25024	-20
643.28363	-37
643.31702	-22
643.3504	-4
643.38379	-9
643.41718	-1
643.45056	18
643.48395	-5
643.51733	-18
643.55072	-6
643.58411	-5
643.61749	-7
643.65082	-24
643.6842	-19
643.71759	-39
643.75098	-21
643.78436	-7
643.81775	-7
643.85107	-8
643.88446	-6
643.91785	-14
643.95123	-12
643.98462	-21
644.01794	-4
644.05133	-25
644.08472	-5
644.11804	-19
644.15143	-31
644.18481	-9
644.21814	-20
644.25153	-10
644.28485	-35
644.31824	-9
644.35162	-22
644.38495	-30
644.41833	-16
644.45166	-18
644.48505	-30
644.51837	4
644.55176	-16
644.58508	-11
644.61847	-22
644.65179	-7
644.68512	-13
644.71851	14
644.75183	-28
644.78522	-20
644.81854	-17
644.85187	-25
644.88525	-8
644.91858	-14
644.9519	-10
644.98529	-7
645.01862	-8
645.05194	-14
645.08527	-11
645.11865	-14
645.15198	-25
645.1853	-16
645.21863	-23
645.25195	-36
645.28528	1
645.31866	-6
645.35199	-21
645.38531	-19
645.41864	-23
645.45197	-9
645.48529	-15
645.51862	-2
645.55194	-20
645.58527	-11
645.61859	-29
645.65192	-16
645.68524	-7
645.71857	1
645.75189	-10
645.78522	-31
645.81854	-11
645.85187	-16
645.88513	-30
645.91846	5
645.95178	-18
645.98511	12
646.01843	-41
646.05176	-21
646.08502	0
646.11835	-12
646.15167	-24
646.185	1
646.21826	-22
646.25159	-15
646.28491	-21
